cpu_load,ram_load,ram_kb,tokens,prompt_length,ttft_sec,stream_speed_tps
37,67,9273972,639,17,1.90652,2.690874599937693
37,73,9329420,354,17,1.8868800000000001,2.6559699602294753
37,79,9304424,422,17,2.058656,2.2770381690411625
37,85,9297680,331,17,2.546398,2.5187013575800323
37,91,9286872,172,17,1.6991559999999999,2.0790121307940375
37,97,9279744,319,17,3.076684,2.809360330669637
43,1,9272012,246,17,3.0822979999999998,2.7518369910206215
43,7,9268144,255,17,1.8428560000000003,3.252546456886349
43,13,9255224,360,17,2.132214,2.7053733449033133
43,19,9321744,218,17,2.00224,2.956936559468674
43,25,9304840,277,17,1.9434860000000003,2.7095181361645353
43,31,9307968,244,17,2.2898519999999998,3.007535849457547
43,37,9289956,2791,17,2.4075200000000003,2.2442736966635812
43,43,9269732,899,17,2.538202,2.706393512988491
43,49,9297036,219,17,2.358428,2.732557145693084
43,55,9292976,284,17,2.08151,2.713214990665681
43,61,9280648,277,17,2.441476,3.1434165056374965
43,67,9278976,4095,17,2.4175940000000002,2.0680428310810446
43,73,9262660,716,17,2.225982,2.6555244421553525
43,79,9250620,251,17,2.2480420000000003,2.623067316685739
43,85,9309216,476,17,2.44467,2.665479371065583
43,91,9275604,364,17,2.22721,2.5831086833043466
43,97,9275988,451,17,1.8518960000000002,2.890842183733212
49,1,9262984,212,17,2.20086,2.7867064114096176
49,7,9258648,318,17,2.337206,2.7462131189191457
49,13,9252856,497,17,3.492816,2.5635655947833245
49,19,9281120,272,17,2.385592,2.843570186002944
49,25,9271056,359,17,2.8123759999999995,2.6586666719988115
49,31,9265324,354,17,2.407762,2.621456950974534
49,37,9256684,224,17,2.6727659999999998,2.566448090837597
49,43,9249836,261,17,2.3653760000000004,2.7343105053676298
49,49,9243092,257,17,2.641828,2.6632383776588084
49,55,9242420,329,17,2.07041,2.7323010218390578
49,61,9290396,535,17,1.998058,2.6486108308479297
49,67,9267040,35,17,2.070294,3.497534238361955
49,73,9266792,313,17,2.39921,2.6191065917808585
49,79,9255596,338,17,3.054956,2.568138683743827
49,85,9255972,223,17,2.058304,2.8229038008817335
49,91,9240056,204,17,2.1347519999999998,2.53968475291544
49,97,9233432,366,17,2.303642,2.655941693516955
55,1,9282212,203,17,2.6356100000000002,2.028348113296531
55,7,9280112,262,17,3.02125,1.8808208533930295
55,13,9265044,361,17,2.6170839999999997,1.8471176062338222
55,19,9244528,309,17,4.260191999999999,1.7705241421853506
55,25,9227596,335,17,2.4482479999999995,1.9007246413403525
55,31,9303844,284,17,3.3203099999999997,1.7344567482978965
55,37,9289068,1142,17,3.7557559999999994,1.749336929308314
55,43,9286124,312,17,3.511158,1.8049604826464332
55,49,9273252,333,17,3.023874,1.9143819409280372
55,55,9241416,276,17,2.752344,1.9416881501093781
55,61,9286916,269,17,3.142972,2.107682518450253
55,67,9275112,249,17,2.6610240000000003,1.9127003611239732
55,73,9272640,367,17,2.9173040000000006,2.050176591709343
55,79,9252824,222,17,3.595859999999999,1.7221017957643123
55,85,9294072,347,17,2.902862,1.7549801861725465
55,91,9281044,322,17,2.5302800000000003,2.03851630958656
55,97,9272724,380,17,3.410986,1.711166990219825
1,1,9309688,396,17,0.661672,10.168616721468494
1,7,9319152,182,17,0.73771,10.03650641343789
1,13,9343208,415,17,0.753672,9.246921777726282
1,19,9314424,172,17,0.8749119999999999,9.624095153204964
1,25,9324632,446,17,0.8067799999999999,9.018833791992934
1,31,9313644,1304,17,0.957108,7.922141870129727
1,37,9215940,730,17,0.766606,8.567768407351615
1,43,9290336,319,17,0.7749360000000001,9.155645689714307
1,49,9282756,526,17,0.79218,8.746283453079265
1,55,9276812,338,17,0.821136,9.23010039509199
1,61,9271560,231,17,0.7848959999999999,9.606910987187042
1,67,9281504,592,17,0.768176,9.13599703203556
1,73,9278268,389,17,0.7730779999999998,9.41492190092356
1,79,9277932,412,17,0.7403059999999999,9.387262396312902
1,85,9272220,358,17,0.7439,9.509877388991441
1,91,9265556,320,17,0.754814,9.642199084292406
1,97,9269116,663,17,0.789316,9.071302489901505
7,1,9262356,470,17,1.020054,6.419914300973778
7,7,9267344,656,17,0.923252,6.354688282681334
7,13,9263696,318,17,0.9300940000000001,6.493472018648925
7,19,9258556,387,17,0.944546,6.608889827757303
7,25,9258432,396,17,0.87462,6.663629891226338
7,31,9253420,515,17,0.9099639999999998,6.374313817494856
7,37,9250268,331,17,0.894386,6.4510533634642355
7,43,9252968,500,17,0.895128,6.822020445049511
7,49,9243124,396,17,0.872592,6.081151118908772
7,55,9252688,317,17,0.8497080000000001,7.0422629078903105
7,61,9243524,458,17,0.9331599999999999,6.121681109868804
7,67,9243184,412,17,0.8986479999999999,6.822643559101564
7,73,9240692,327,17,0.9475079999999999,6.469892247604952
7,79,9236104,589,17,0.930226,6.512382538013684
7,85,9231424,436,17,0.91961,6.690141493423714
7,91,9222240,4095,17,0.993984,4.518499232395806
7,97,9248944,444,17,0.8621580000000001,6.2882918379246595
13,1,9242576,811,17,1.009426,4.429365062806868
13,7,9240356,469,17,1.194928,4.421691328045091
13,13,9236084,473,17,1.2105120000000003,4.883607021821566
13,19,9223380,414,17,1.025804,4.51214797752776
13,25,9225496,394,17,1.0764520000000002,4.841945503534682
13,31,9222256,460,17,1.32066,4.401763499562742
13,37,9242760,325,17,1.2982199999999997,5.010047843644577
13,43,9242712,348,17,1.159988,4.512593832451281
13,49,9241548,385,17,1.150182,4.9017304891074005
13,55,9232804,282,17,0.96781,5.124499906959434
13,61,9229840,413,17,1.030372,4.722182997740098
13,67,9291280,519,17,1.021472,4.755239834506659
